slice_feature,slice_value,rows,high_priority_rate,accuracy
vulnerability_flag,False,227,0.0529,0.9119
vulnerability_flag,True,73,0.7123,0.8767
deprivation_band,high,75,0.2667,0.92
deprivation_band,low,99,0.202,0.9091
deprivation_band,medium,126,0.1905,0.8889
service_type,adult_social_care,44,0.3864,0.8864
service_type,benefits,43,0.186,0.9302
service_type,children_services,55,0.2,0.8909
service_type,council_tax,40,0.175,1.0
service_type,highways,44,0.1364,0.7955
service_type,housing,38,0.2632,0.8684
service_type,waste,36,0.1389,0.9722
