service_type,service_subtype,district,month,source_system,sla_hours,out_of_hours,accessibility_need,duplicate_signal,days_open,previous_contacts,vulnerability_flag,deprivation_band,channel,urgency_text,priority
council_tax,bill_query,Uttlesford,6,web_form,120,False,False,False,6,4,False,low,web,discount evidence supplied; previous contact history needs review,low
children_services,school_admission,Maldon,10,shared_mailbox,120,False,False,False,10,0,False,high,email,SEND support delayed; previous contact history needs review,medium
highways,winter_or_obstruction,Basildon,2,shared_mailbox,240,False,False,False,6,0,False,high,email,winter or obstruction case from shared mailbox,low
children_services,early_help,Epping Forest,3,contact_centre,24,False,False,False,7,4,False,medium,phone,safeguarding concern for child; officer should check supporting evidence; resident asks for reasonable adjustment,high
adult_social_care,equipment_or_adaptation,Basildon,1,contact_centre,120,False,False,False,6,2,True,medium,phone,mobility worsening; previous contact history needs review,medium
adult_social_care,blue_badge_or_mobility,Braintree,4,contact_centre,120,False,False,False,11,1,True,medium,phone,information about support options; previous contact history needs review,high
adult_social_care,safeguarding_adult,Chelmsford,4,shared_mailbox,4,True,False,False,8,1,True,medium,email,assessment overdue; officer should check supporting evidence,high
waste,container_request,Harlow,9,case_portal,8,False,False,False,5,0,False,high,in_person,hazardous fly tipping; previous contact history needs review,medium
benefits,housing_benefit_query,Tendring,11,contact_centre,120,False,False,False,9,0,False,medium,phone,housing benefit query case from contact centre,low
children_services,school_admission,Braintree,11,contact_centre,4,False,False,True,3,5,True,medium,phone,school admission case from contact centre; linked case may exist,high
council_tax,payment_plan,Braintree,8,case_portal,4,False,False,False,4,5,True,medium,in_person,cannot afford payment; previous contact history needs review,high
adult_social_care,financial_assessment,Rochford,4,web_form,24,False,False,False,8,0,False,low,web,hospital discharge risk; officer should check supporting evidence; linked case may exist,medium
housing,neighbourhood_nuisance,Colchester,3,web_form,120,False,False,False,7,6,False,medium,web,repeat repair; previous contact history needs review,medium
highways,footway_defect,Brentwood,7,web_form,168,False,False,False,10,0,False,low,web,resident in Brentwood reports roadworks update,low
housing,access_to_property,Epping Forest,6,shared_mailbox,240,False,False,False,6,2,False,medium,email,access to property case from shared mailbox,low
benefits,housing_benefit_query,Maldon,3,web_form,120,False,False,False,4,2,False,medium,web,appeal deadline approaching; officer should check supporting evidence,low
highways,pothole_or_carriageway,Epping Forest,4,case_portal,4,False,False,False,2,0,False,medium,web,resident in Epping Forest reports carriageway flooding,low
adult_social_care,care_package_breakdown,Brentwood,10,contact_centre,8,False,False,False,2,1,True,low,phone,care package breakdown case from contact centre,high
benefits,housing_benefit_query,Tendring,8,contact_centre,4,False,True,True,0,3,True,medium,phone,eviction risk; officer should check supporting evidence; resident asks for reasonable adjustment,high
